ID,Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price,Dataset
1370,1.05,Very Good,H,VS2,EX,EX,GIA,5730.00000,Train
1371,1.5,Very Good,G,VVS2,EX,G,GIA,12798.00000,Train
1372,2.49,Very Good,G,VS1,VG,EX,GIA,38001.00000,Train
1373,1.71,Very Good,F,VS1,EX,EX,GIA,17685.00000,Train
1374,1.54,Good,H,SI1,EX,VG,GIA,9048.00000,Train
1375,2.22,Ideal,F,VVS2,EX,EX,GIA,41659.00000,Train
1376,2.19,Very Good,I,SI1,VG,G,GIA,14819.00000,Train
1377,1,Very Good,G,VS1,VG,VG,GIA,6549.00000,Train
1378,1.51,Very Good,G,SI1,VG,G,GIA,9664.00000,Train
1379,2,Very Good,F,VS1,EX,VG,GIA,30446.00000,Train
1380,1.02,Very Good,H,VS1,VG,G,GIA,5598.00000,Train
1381,2.01,Ideal,I,VS2,VG,VG,GIA,16564.00000,Train
1382,1.21,Very Good,F,VS2,G,VG,GIA,8353.00000,Train
1383,1.03,Ideal,G,VVS2,EX,EX,GIA,8493.00000,Train
1384,1.06,Ideal,G,VVS2,VG,VG,GIA,8218.00000,Train
1385,0.77,Ideal,I,SI1,VG,EX,GIA,2475.00000,Train
1386,2.01,Very Good,H,VS2,G,G,GIA,20061.00000,Train
1387,1.07,Ideal,H,VS1,EX,EX,GIA,6479.00000,Train
1388,1,Good,H,VS2,VG,G,GIA,5254.00000,Train
1389,1.01,Ideal,F,VS1,VG,EX,GIA,7519.00000,Train
1390,0.91,Good,H,SI1,G,G,GIA,3855.00000,Train
1391,2.01,Good,I,SI1,VG,G,GIA,15371.00000,Train
1392,2,Very Good,G,SI1,VG,VG,GIA,18818.00000,Train
1393,1.5,Ideal,G,VS1,EX,EX,GIA,16171.00000,Train
1394,0.91,Very Good,E,SI1,EX,EX,GIA,4191.00000,Train
1395,0.88,Ideal,F,SI1,EX,EX,GIA,4054.00000,Train
1396,1.2,Very Good,I,VS2,VG,VG,GIA,5869.00000,Train
1397,1.19,Ideal,G,VS1,EX,EX,GIA,9918.00000,Train
1398,1.26,Ideal,E,SI1,EX,EX,GIA,8574.00000,Train
1399,1.22,Signature-Ideal,H,VVS2,ID,ID,AGSL,9366.00000,Train
1400,1.06,Ideal,I,VS2,ID,ID,AGSL,5116.00000,Train
1401,0.8,Ideal,F,VS2,EX,EX,GIA,4043.00000,Train
1402,0.92,Good,E,VVS2,VG,G,GIA,5262.00000,Train
1403,1.1,Very Good,F,SI1,VG,VG,GIA,5667.00000,Train
1404,1.33,Very Good,F,SI1,EX,VG,GIA,8081.00000,Train
1405,1.51,Good,G,SI1,VG,G,GIA,10085.00000,Train
1406,1.01,Fair,I,VS2,VG,G,GIA,4299.00000,Train
1407,2.18,Good,F,VS2,G,VG,GIA,30175.00000,Train
1408,1.02,Ideal,G,SI1,EX,VG,GIA,5016.00000,Train
1409,2.08,Ideal,I,VS2,VG,VG,GIA,16950.00000,Train
1410,1.04,Ideal,E,VS2,EX,VG,GIA,7425.00000,Train
1411,2.04,Ideal,G,SI1,VG,VG,GIA,18663.00000,Train
1412,2.12,Ideal,E,VS2,VG,VG,GIA,30687.00000,Train
1413,1.27,Ideal,G,IF,VG,EX,GIA,11157.00000,Train
1414,1.21,Signature-Ideal,G,VS1,ID,ID,AGSL,10685.00000,Train
1415,0.91,Fair,G,VS2,EX,VG,GIA,5151.00000,Train
1416,1.21,Ideal,D,VVS2,EX,EX,GIA,12657.00000,Train
1417,1.04,Ideal,G,VS1,EX,EX,GIA,7375.00000,Train
1418,1.22,Signature-Ideal,D,VS2,ID,ID,AGSL,11704.00000,Train
1419,1.17,Ideal,G,VS1,VG,VG,GIA,7447.00000,Train
1420,1.15,Very Good,I,VS2,VG,VG,GIA,5352.00000,Train
1421,0.82,Ideal,F,SI1,EX,EX,GIA,3596.00000,Train
1422,1.25,Ideal,G,IF,ID,ID,AGSL,11511.00000,Train
1423,1.11,Signature-Ideal,I,SI1,ID,ID,AGSL,6090.00000,Train
1424,1.2,Signature-Ideal,G,VVS2,ID,ID,AGSL,11530.00000,Train
1425,2.5,Ideal,I,SI1,VG,VG,GIA,20009.00000,Train
1426,2.01,Very Good,D,VS2,VG,VG,GIA,29686.00000,Train
1427,2.07,Ideal,H,VS2,EX,EX,GIA,20737.00000,Train
1428,1.5,Ideal,G,VS1,EX,VG,GIA,14067.00000,Train
1429,1.5,Ideal,D,VVS1,EX,EX,GIA,25406.00000,Train
1430,0.75,Ideal,H,SI1,EX,VG,GIA,3017.00000,Train
1431,1,Very Good,E,VS2,EX,EX,GIA,7607.00000,Train
1432,0.91,Very Good,F,VS1,VG,VG,GIA,4972.00000,Train
1433,1.72,Very Good,G,VVS1,VG,VG,GIA,17857.00000,Train
1434,1.72,Ideal,G,VS2,EX,EX,GIA,16472.00000,Train
1435,0.9,Very Good,G,VS1,EX,ID,AGSL,5148.00000,Train
1436,1.51,Ideal,I,VS1,EX,EX,GIA,12055.00000,Train
1437,0.83,Very Good,D,VS1,G,G,AGSL,3984.00000,Train
1438,2.07,Good,D,VVS1,VG,G,GIA,45392.00000,Train
1439,1.09,Good,G,SI1,VG,VG,GIA,5672.00000,Train
1440,1.01,Good,G,SI1,VG,VG,GIA,4661.00000,Train
1441,2.05,Very Good,G,VS1,VG,VG,AGSL,29396.00000,Train
1442,1.04,Very Good,G,VVS2,G,VG,GIA,7481.00000,Train
1443,0.79,Very Good,F,SI1,EX,VG,GIA,3047.00000,Train
1444,1.07,Ideal,E,VVS2,EX,EX,GIA,10453.00000,Train
1445,1.01,Ideal,I,VS2,EX,EX,GIA,5119.00000,Train
1446,2.07,Ideal,G,SI1,EX,EX,GIA,21316.00000,Train
1447,0.77,Ideal,E,SI1,VG,VG,GIA,3000.00000,Train
1448,0.76,Very Good,I,VS1,EX,EX,GIA,2601.00000,Train
1449,0.91,Ideal,F,VS2,EX,VG,GIA,5085.00000,Train
1450,1.09,Ideal,F,VS1,EX,EX,GIA,8730.00000,Train
1451,1.28,Ideal,G,VS1,ID,ID,AGSL,9342.00000,Train
1452,2.1,Ideal,G,VS1,VG,VG,GIA,28482.00000,Train
1453,1.66,Ideal,H,VS1,EX,EX,GIA,15210.00000,Train
1454,0.87,Very Good,G,VS2,G,VG,GIA,3178.00000,Train
1455,1.51,Very Good,G,VS2,VG,VG,GIA,14530.00000,Train
1456,1.01,Good,G,VS2,EX,EX,GIA,5655.00000,Train
1457,1.28,Very Good,H,VS2,VG,VG,GIA,7169.00000,Train
1458,0.9,Good,G,VS2,VG,VG,GIA,3990.00000,Train
1459,1.01,Very Good,G,VS2,EX,EX,GIA,6406.00000,Train
1460,1.73,Ideal,G,VVS1,EX,VG,GIA,16153.00000,Train
1461,1.01,Very Good,E,SI1,G,VG,GIA,4788.00000,Train
1462,2.01,Very Good,F,SI1,G,VG,GIA,21558.00000,Train
1463,2.2,Very Good,E,VVS1,EX,VG,GIA,52558.00000,Train
1464,1,Very Good,G,IF,VG,VG,GIA,8050.00000,Train
1465,1.01,Ideal,F,IF,EX,VG,GIA,10688.00000,Train
1466,2,Very Good,E,VVS2,G,VG,GIA,37278.00000,Train
1467,1.36,Ideal,D,VS1,VG,EX,GIA,13725.00000,Train
1468,1.03,Ideal,D,IF,EX,EX,GIA,17991.00000,Train
1469,0.83,Very Good,I,VVS1,EX,EX,GIA,3774.00000,Train
1470,2,Very Good,F,VS1,VG,VG,GIA,29840.00000,Train
1471,1.02,Ideal,G,VS2,EX,EX,GIA,6648.00000,Train
1472,1.02,Ideal,H,SI1,ID,ID,AGSL,5505.00000,Train
1473,2.1,Ideal,G,VS1,EX,EX,GIA,28587.00000,Train
1474,0.79,Good,F,VS1,VG,VG,AGSL,3436.00000,Train
1475,2.01,Good,H,VS2,VG,G,GIA,18640.00000,Train
1476,1,Very Good,D,VS2,VG,EX,GIA,7361.00000,Train
1477,0.9,Very Good,D,SI1,VG,G,GIA,4537.00000,Train
1478,0.76,Very Good,G,VVS2,ID,ID,AGSL,3655.00000,Train
1479,1.52,Very Good,H,SI1,VG,VG,GIA,10010.00000,Train
1480,0.75,Very Good,D,SI1,VG,G,GIA,3048.00000,Train
1481,2.02,Good,F,VS1,G,G,GIA,27311.00000,Train
1482,0.77,Very Good,I,VS1,VG,VG,GIA,2750.00000,Train
1483,0.8,Ideal,E,VS1,VG,EX,GIA,4086.00000,Train
1484,1.51,Ideal,D,VS1,ID,ID,AGSL,16688.00000,Train
1485,1.23,Ideal,I,VS1,EX,EX,GIA,7181.00000,Train
1486,1.11,Ideal,F,VS2,EX,EX,GIA,7740.00000,Train
1487,1.29,Ideal,G,VS2,EX,VG,GIA,9465.00000,Train
1488,2.02,Ideal,G,VS2,EX,EX,GIA,25986.00000,Train
1489,1.01,Very Good,E,VS2,VG,G,GIA,6480.00000,Train
1490,0.83,Ideal,E,SI1,VG,VG,GIA,3538.00000,Train
1491,2.01,Very Good,E,VS1,VG,VG,GIA,35302.00000,Train
1492,1.24,Very Good,E,VS1,VG,G,GIA,10185.00000,Train
1493,0.9,Very Good,I,VS1,VG,VG,GIA,3844.00000,Train
1494,1.52,Ideal,I,SI1,ID,ID,AGSL,9067.00000,Train
1495,0.9,Good,E,VS2,VG,VG,GIA,4315.00000,Train
1496,0.76,Very Good,G,VS1,VG,G,AGSL,2818.00000,Train
1497,1.21,Very Good,G,VVS2,EX,VG,GIA,9358.00000,Train
1498,1.11,Ideal,D,VVS2,VG,VG,GIA,12016.00000,Train
1499,1.01,Good,F,SI1,VG,G,GIA,4816.00000,Train
1500,1,Good,G,VS2,VG,G,GIA,5081.00000,Train
1501,2.06,Ideal,D,VS1,EX,EX,GIA,34712.00000,Train
1502,1,Very Good,F,VVS1,VG,G,GIA,9870.00000,Train
1503,1.25,Ideal,G,IF,EX,EX,GIA,11233.00000,Train
1504,2.17,Ideal,I,SI1,EX,EX,GIA,16901.00000,Train
1505,2.37,Ideal,F,VS2,EX,EX,GIA,36025.00000,Train
1506,0.85,Ideal,I,VS1,EX,EX,GIA,3548.00000,Train
1507,1,Good,G,VS2,VG,VG,GIA,5766.00000,Train
1508,2.05,Ideal,G,VS1,EX,EX,GIA,28519.00000,Train
1509,2.41,Very Good,G,VS1,EX,EX,GIA,36644.00000,Train
1510,1.24,Ideal,I,SI1,EX,EX,GIA,6381.00000,Train
1511,0.91,Ideal,F,SI1,EX,EX,GIA,5176.00000,Train
1512,1.01,Very Good,G,VS1,VG,EX,GIA,7179.00000,Train
1513,1.01,Good,G,VS2,VG,VG,GIA,5770.00000,Train
1514,1.56,Ideal,I,VS2,ID,ID,AGSL,10333.00000,Train
1515,1.25,Signature-Ideal,E,VS1,ID,ID,AGSL,12869.00000,Train
1516,1.19,Signature-Ideal,F,VS1,ID,ID,AGSL,10572.00000,Train
1517,2.13,Ideal,G,VVS1,EX,EX,GIA,36372.00000,Train
1518,2.12,Ideal,G,VS2,ID,ID,AGSL,26221.00000,Train
1519,1.61,Ideal,F,SI1,ID,ID,AGSL,11844.00000,Train
1520,1.54,Very Good,E,VVS2,EX,VG,GIA,19810.00000,Train
1521,1.42,Very Good,G,VVS2,EX,VG,GIA,12891.00000,Train
1522,2,Ideal,H,VVS1,EX,VG,GIA,26746.00000,Train
1523,0.9,Very Good,F,SI1,VG,EX,GIA,3950.00000,Train
1524,1.02,Very Good,H,SI1,EX,EX,GIA,5259.00000,Train
1525,1.35,Ideal,H,IF,VG,EX,GIA,10067.00000,Train
1526,0.9,Very Good,G,SI1,EX,VG,GIA,3752.00000,Train
1527,2,Very Good,G,VS1,VG,VG,GIA,26869.00000,Train
1528,2.01,Ideal,G,SI1,VG,VG,GIA,18339.00000,Train
1529,1.15,Signature-Ideal,E,VS1,EX,EX,GIA,11014.00000,Train
1530,2.04,Ideal,I,SI1,VG,VG,GIA,16036.00000,Train
1531,1.01,Good,G,VS2,EX,EX,GIA,6126.00000,Train
1532,2.19,Ideal,G,VVS1,EX,EX,GIA,35051.00000,Train
1533,0.92,Good,I,SI1,G,G,GIA,3329.00000,Train
1534,1.39,Ideal,D,SI1,ID,ID,AGSL,9519.00000,Train
1535,2.02,Very Good,G,SI1,VG,G,GIA,21075.00000,Train
1536,1.18,Ideal,F,VVS2,ID,ID,AGSL,10324.00000,Train
1537,1,Very Good,F,VVS2,VG,VG,GIA,9248.00000,Train
1538,0.82,Ideal,D,VS2,EX,EX,GIA,4628.00000,Train
1539,1.02,Very Good,F,SI1,EX,VG,AGSL,5386.00000,Train
1540,0.9,Very Good,D,SI1,VG,G,GIA,4537.00000,Train
1541,0.75,Ideal,D,VS2,ID,ID,AGSL,3679.00000,Train
1542,1.57,Ideal,H,VS2,VG,EX,GIA,12004.00000,Train
1543,2.03,Ideal,F,VS2,EX,EX,GIA,26365.00000,Train
1544,1.72,Ideal,E,VS2,VG,EX,GIA,19920.00000,Train
1545,0.9,Ideal,F,SI1,EX,VG,GIA,4795.00000,Train
1546,0.88,Very Good,F,VVS2,VG,VG,GIA,5052.00000,Train
1547,0.75,Very Good,D,SI1,G,G,GIA,3046.00000,Train
1548,2.01,Good,I,VS2,VG,VG,GIA,15147.00000,Train
1549,1.15,Very Good,E,VS1,VG,G,GIA,8906.00000,Train
1550,1.24,Ideal,H,VS1,EX,EX,GIA,8299.00000,Train
1551,1,Very Good,E,SI1,VG,VG,GIA,5571.00000,Train
1552,1.15,Ideal,G,VS1,VG,EX,GIA,8109.00000,Train
1553,1.02,Good,H,SI1,VG,G,GIA,4654.00000,Train
1554,1.01,Fair,E,SI1,VG,VG,GIA,5085.00000,Train
1555,2.01,Ideal,D,VS1,VG,VG,GIA,37701.00000,Train
1556,1.36,Very Good,G,IF,EX,VG,GIA,12515.00000,Train
1557,1.11,Very Good,G,VS1,EX,EX,GIA,8129.00000,Train
1558,1.8,Ideal,G,VS2,EX,EX,GIA,20343.00000,Train
1559,1.04,Very Good,G,IF,VG,G,GIA,8225.00000,Train
1560,1.04,Ideal,H,SI1,EX,EX,GIA,6458.00000,Train
1561,1.21,Ideal,I,VS1,ID,ID,AGSL,6418.00000,Train
1562,0.92,Ideal,H,SI1,EX,EX,GIA,4325.00000,Train
1563,0.82,Ideal,I,VS2,VG,VG,GIA,2759.00000,Train
1564,1.01,Good,E,SI1,EX,VG,GIA,4713.00000,Train
1565,1.24,Ideal,H,VVS1,ID,ID,AGSL,8693.00000,Train
1566,0.77,Good,I,VS1,VG,G,AGSL,2184.00000,Train
1567,0.93,Very Good,G,VS2,VG,VG,GIA,5181.00000,Train
1568,0.81,Ideal,E,SI1,EX,VG,GIA,3109.00000,Train
1569,1.24,Ideal,G,VS2,EX,VG,GIA,8797.00000,Train
1570,2.01,Ideal,F,VS2,VG,VG,GIA,27241.00000,Train
1571,0.9,Fair,D,SI1,VG,VG,GIA,4105.00000,Train
1572,1.81,Ideal,G,VVS2,EX,EX,GIA,24561.00000,Train
1573,0.81,Good,I,VS1,G,G,GIA,3042.00000,Train
1574,2,Very Good,D,VS1,EX,VG,GIA,30542.00000,Train
1575,0.9,Very Good,D,SI1,EX,VG,GIA,4799.00000,Train
1576,2.01,Very Good,F,SI1,G,VG,GIA,19789.00000,Train
1577,1.05,Very Good,G,SI1,ID,ID,AGSL,5197.00000,Train
1578,1.24,Very Good,G,VS1,VG,EX,GIA,9738.00000,Train
1579,0.9,Good,H,VS1,VG,VG,GIA,3796.00000,Train
1580,2.15,Ideal,I,VS2,EX,EX,GIA,19592.00000,Train
1581,0.82,Very Good,I,SI1,G,VG,GIA,2602.00000,Train
1582,1.1,Good,G,SI1,VG,VG,GIA,5468.00000,Train
1583,1.35,Ideal,H,SI1,VG,G,GIA,7780.00000,Train
1584,1,Very Good,F,VS2,EX,EX,GIA,6267.00000,Train
1585,0.75,Very Good,D,VVS1,G,VG,GIA,5239.00000,Train
1586,1.09,Very Good,F,SI1,VG,G,GIA,5463.00000,Train
1587,1.22,Ideal,G,VS1,ID,ID,AGSL,9339.00000,Train
1588,0.84,Very Good,I,VVS2,EX,ID,AGSL,3392.00000,Train
1589,1.8,Very Good,I,SI1,VG,G,GIA,11793.00000,Train
1590,1.14,Very Good,H,VS2,VG,VG,GIA,6103.00000,Train
1591,1.07,Signature-Ideal,F,SI1,EX,EX,GIA,7357.00000,Train
1592,1.23,Ideal,I,SI1,EX,EX,GIA,6449.00000,Train
1593,2.01,Good,I,VS2,EX,EX,GIA,16304.00000,Train
1594,1.03,Ideal,E,VVS2,VG,VG,GIA,9712.00000,Train
1595,1.07,Signature-Ideal,G,VS1,ID,ID,AGSL,8456.00000,Train
1596,1.68,Ideal,G,VS1,VG,EX,GIA,16985.00000,Train
1597,1.01,Ideal,D,VVS2,ID,ID,AGSL,11082.00000,Train
1598,1.29,Ideal,D,VS2,EX,EX,GIA,11182.00000,Train
1599,1.23,Very Good,G,VS1,G,G,GIA,8494.00000,Train
1600,1.01,Very Good,I,SI1,EX,VG,GIA,4794.00000,Train
1601,1.01,Ideal,I,VS1,EX,VG,GIA,5182.00000,Train
1602,2.06,Ideal,E,SI1,VG,G,GIA,24226.00000,Train
1603,1.2,Good,I,VS1,VG,VG,GIA,5600.00000,Train
1604,1.01,Very Good,H,SI1,VG,VG,GIA,4868.00000,Train
1605,1.5,Ideal,G,VS2,ID,ID,AGSL,13135.00000,Train
1606,0.77,Very Good,D,VS2,G,VG,GIA,3787.00000,Train
1607,1.61,Very Good,G,SI1,VG,G,GIA,12028.00000,Train
1608,1.01,Very Good,E,VS2,EX,EX,GIA,6754.00000,Train
1609,1.01,Good,G,VS2,EX,G,AGSL,5614.00000,Train
1610,2.02,Very Good,I,VS2,G,G,GIA,15759.00000,Train
1611,0.9,Good,F,VS2,VG,EX,GIA,4268.00000,Train
1612,0.76,Signature-Ideal,I,VS2,EX,EX,GIA,3075.00000,Train
1613,0.78,Ideal,G,VS1,EX,EX,GIA,3147.00000,Train
1614,1.11,Very Good,D,VVS1,VG,VG,GIA,12200.00000,Train
1615,1.57,Ideal,E,VVS2,VG,VG,GIA,21465.00000,Train
1616,1.23,Very Good,G,VVS2,EX,EX,GIA,9999.00000,Train
1617,2.39,Ideal,I,VS1,EX,EX,GIA,23625.00000,Train
1618,1.02,Very Good,H,SI1,VG,VG,GIA,4508.00000,Train
1619,0.88,Very Good,I,SI1,G,G,GIA,2699.00000,Train
1620,0.77,Ideal,I,VS1,EX,EX,GIA,2798.00000,Train
1621,1.51,Ideal,H,VS1,EX,EX,GIA,10186.00000,Train
1622,1.26,Ideal,H,VS1,EX,EX,GIA,8238.00000,Train
1623,1.21,Ideal,I,SI1,VG,VG,GIA,5452.00000,Train
1624,0.9,Ideal,E,SI1,VG,VG,GIA,4471.00000,Train
1625,1.24,Ideal,G,VS2,EX,EX,GIA,9209.00000,Train
1626,2.1,Very Good,D,SI1,VG,VG,GIA,19644.00000,Train
1627,1,Very Good,H,VS1,EX,VG,GIA,5619.00000,Train
1628,1,Ideal,F,VS1,EX,EX,GIA,7928.00000,Train
1629,0.76,Ideal,I,VS1,ID,ID,AGSL,2679.00000,Train
1630,1.01,Ideal,G,VS2,VG,EX,GIA,6449.00000,Train
1631,1.13,Very Good,G,VVS1,EX,EX,GIA,9357.00000,Train
1632,0.91,Ideal,I,VVS2,ID,ID,AGSL,4663.00000,Train
1633,2.03,Very Good,I,VS2,VG,VG,GIA,17297.00000,Train
1634,1.01,Very Good,I,SI1,EX,VG,AGSL,4243.00000,Train
1635,0.9,Very Good,E,SI1,VG,VG,GIA,4324.00000,Train
1636,1.21,Very Good,I,SI1,G,VG,GIA,5452.00000,Train
1637,1.28,Ideal,E,VS2,VG,VG,GIA,9568.00000,Train
1638,1.04,Ideal,I,IF,VG,VG,GIA,6155.00000,Train
1639,1.72,Ideal,F,VS2,VG,EX,GIA,17779.00000,Train
1640,1.52,Very Good,G,VS1,VG,VG,GIA,13492.00000,Train
1641,2.2,Very Good,H,VS2,EX,EX,GIA,20072.00000,Train
1642,2,Very Good,H,SI1,EX,EX,GIA,8803.00000,Train
1643,1.5,Ideal,F,VS2,EX,EX,GIA,13955.00000,Train
1644,2.2,Good,I,VS1,VG,VG,GIA,19830.00000,Train
1645,1.71,Ideal,D,SI1,EX,EX,GIA,16575.00000,Train
1646,2,Very Good,E,VS2,VG,VG,GIA,24530.00000,Train
1647,1.65,Ideal,I,SI1,EX,EX,GIA,10365.00000,Train
1648,1.62,Ideal,H,VVS2,VG,VG,GIA,13843.00000,Train
1649,1.7,Very Good,G,VS2,EX,EX,GIA,18107.00000,Train
1650,1,Good,E,VS2,G,G,GIA,6445.00000,Train
1651,1,Good,D,VS2,VG,G,GIA,6389.00000,Train
1652,1.72,Ideal,G,VVS2,VG,EX,GIA,19353.00000,Train
1653,1.53,Ideal,G,SI1,EX,VG,GIA,10947.00000,Train
1654,2.01,Very Good,H,VS2,VG,G,GIA,19044.00000,Train
1655,1.21,Good,E,SI1,VG,VG,GIA,6861.00000,Train
1656,1.17,Very Good,H,IF,G,G,GIA,7644.00000,Train
1657,2.04,Very Good,I,VS1,G,G,GIA,18127.00000,Train
1658,1.22,Very Good,G,VVS1,VG,G,GIA,10529.00000,Train
1659,0.9,Very Good,I,VS1,VG,VG,GIA,3880.00000,Train
1660,1.04,Ideal,G,VS1,EX,EX,GIA,7467.00000,Train
1661,1.53,Very Good,I,SI1,EX,EX,GIA,7971.00000,Train
1662,1.06,Very Good,D,SI1,G,G,GIA,5893.00000,Train
1663,1.04,Ideal,G,VVS2,EX,EX,GIA,8515.00000,Train
1664,2.48,Ideal,D,VVS1,EX,EX,GIA,67382.00000,Train
1665,0.8,Ideal,H,IF,EX,VG,GIA,3831.00000,Train
1666,1.12,Ideal,H,IF,EX,VG,GIA,7971.00000,Train
1667,1.01,Very Good,G,VVS2,G,G,GIA,7226.00000,Train
1668,2.09,Ideal,D,VS1,EX,EX,GIA,38627.00000,Train
1669,1.54,Ideal,F,VS1,VG,VG,GIA,17194.00000,Train
1670,0.92,Good,I,VS2,G,G,GIA,3785.00000,Train
1671,1.45,Very Good,I,IF,EX,VG,GIA,9683.00000,Train
1672,2.48,Very Good,F,VVS1,VG,VG,GIA,50585.00000,Train
1673,1.2,Very Good,I,SI1,EX,EX,GIA,5955.00000,Train
1674,0.83,Ideal,G,VS2,EX,EX,GIA,3849.00000,Train
1675,1,Very Good,H,SI1,EX,VG,GIA,5161.00000,Train
1676,2.43,Very Good,E,VS1,VG,VG,GIA,44379.00000,Train
1677,1.02,Ideal,H,SI1,EX,EX,GIA,5301.00000,Train
1678,0.77,Signature-Ideal,F,SI1,EX,EX,GIA,3702.00000,Train
1679,1,Very Good,E,SI1,VG,G,GIA,5718.00000,Train
1680,2.08,Very Good,I,VS2,VG,VG,GIA,16664.00000,Train
1681,0.92,Ideal,I,VS2,VG,VG,GIA,3679.00000,Train
1682,1.14,Signature-Ideal,H,SI1,ID,ID,AGSL,7079.00000,Train
1683,0.76,Ideal,D,SI1,VG,VG,GIA,3075.00000,Train
1684,0.77,Very Good,I,VS2,VG,VG,GIA,2513.00000,Train
1685,1.52,Ideal,I,IF,EX,EX,GIA,12847.00000,Train
1686,2.09,Ideal,G,VS2,G,G,GIA,26058.00000,Train
1687,1.27,Ideal,H,VS1,EX,EX,GIA,8652.00000,Train
1688,1.01,Good,G,SI1,VG,VG,GIA,4781.00000,Train
1689,0.75,Very Good,I,VVS2,ID,ID,AGSL,2744.00000,Train
1690,2.07,Ideal,F,VS1,EX,EX,GIA,33687.00000,Train
1691,2.5,Ideal,H,VS2,EX,EX,GIA,29223.00000,Train
1692,1.71,Ideal,I,SI1,VG,EX,GIA,10668.00000,Train
1693,1.52,Very Good,G,SI1,EX,VG,GIA,11014.00000,Train
1694,2.17,Very Good,I,SI1,EX,VG,GIA,15760.00000,Train
1695,1.3,Ideal,I,IF,EX,VG,GIA,8027.00000,Train
1696,1.22,Ideal,H,VVS2,VG,EX,GIA,7835.00000,Train
1697,0.9,Very Good,G,IF,EX,VG,GIA,5754.00000,Train
1698,2.66,Ideal,G,VVS1,EX,VG,GIA,46861.00000,Train
1699,2.16,Ideal,G,VS2,EX,EX,GIA,27874.00000,Train
1700,2.05,Ideal,D,VS2,EX,EX,GIA,31298.00000,Train
1701,1.02,Very Good,G,VS1,EX,VG,GIA,6622.00000,Train
1702,1.01,Very Good,G,VS2,EX,VG,GIA,5944.00000,Train
1703,1,Good,H,SI1,VG,G,GIA,4447.00000,Train
1704,1.01,Very Good,E,VS2,VG,G,GIA,6522.00000,Train
1705,2.01,Ideal,F,SI1,EX,EX,GIA,22373.00000,Train
1706,1.11,Very Good,F,VS1,G,G,GIA,8233.00000,Train
1707,1.06,Ideal,F,VS2,EX,EX,GIA,7641.00000,Train
1708,1.14,Very Good,I,SI1,VG,VG,GIA,4973.00000,Train
1709,1.36,Signature-Ideal,H,SI1,EX,EX,GIA,8989.00000,Train
1710,1.2,Very Good,I,VS2,VG,VG,GIA,5986.00000,Train
1711,2.02,Good,I,VS2,VG,G,GIA,16593.00000,Train
1712,1.51,Ideal,I,VS2,VG,VG,GIA,9337.00000,Train
1713,1.23,Ideal,H,VS1,EX,EX,GIA,7803.00000,Train
1714,0.9,Very Good,F,VS1,EX,VG,GIA,5167.00000,Train
1715,1.02,Very Good,D,SI1,VG,G,GIA,5778.00000,Train
1716,2.1,Ideal,H,VS2,ID,ID,AGSL,22093.00000,Train
1717,2.02,Ideal,G,VS1,VG,VG,GIA,24579.00000,Train
1718,1.5,Very Good,F,VS2,EX,EX,GIA,13537.00000,Train
1719,1.5,Good,I,VS1,G,VG,GIA,9278.00000,Train
1720,0.96,Fair,E,SI1,VG,VG,GIA,4308.00000,Train
1721,1.1,Very Good,G,VS2,G,VG,GIA,7406.00000,Train
1722,1.13,Ideal,H,SI1,EX,VG,GIA,5671.00000,Train
1723,1.51,Very Good,G,VVS2,EX,EX,GIA,15110.00000,Train
1724,1.06,Very Good,H,SI1,EX,EX,GIA,5664.00000,Train
1725,2.07,Very Good,F,VS1,VG,G,GIA,29735.00000,Train
1726,1.25,Ideal,F,IF,VG,VG,GIA,14551.00000,Train
1727,1.51,Ideal,D,VVS2,ID,ID,AGSL,20613.00000,Train
1728,1.01,Ideal,F,VS2,EX,EX,GIA,7338.00000,Train
1729,0.75,Very Good,E,SI1,EX,EX,GIA,2993.00000,Train
1730,1.5,Ideal,I,VS2,ID,ID,AGSL,10181.00000,Train
1731,1.51,Very Good,G,SI1,EX,VG,GIA,10947.00000,Train
1732,1.16,Very Good,G,VVS1,G,VG,GIA,9023.00000,Train
1733,1.02,Very Good,F,VS1,VG,EX,GIA,7010.00000,Train
1734,1.21,Ideal,H,VVS2,ID,ID,AGSL,7954.00000,Train
1735,1.08,Very Good,F,VVS2,G,VG,GIA,8221.00000,Train
1736,0.94,Very Good,H,VS1,EX,VG,GIA,4556.00000,Train
1737,1.74,Very Good,D,SI1,G,VG,GIA,16286.00000,Train
1738,2,Good,H,VS1,EX,EX,GIA,17440.00000,Train
1739,1.04,Very Good,D,VS2,ID,EX,AGSL,7653.00000,Train
1740,1.5,Very Good,H,VS1,EX,EX,GIA,12152.00000,Train
1741,1.51,Good,I,SI1,G,VG,GIA,7461.00000,Train
1742,1.34,Very Good,H,VVS2,VG,VG,GIA,9735.00000,Train
1743,1.02,Very Good,G,SI1,VG,VG,GIA,4624.00000,Train
1744,1,Ideal,F,SI1,EX,EX,GIA,5115.00000,Train
1745,1,Good,G,SI1,VG,VG,GIA,4661.00000,Train
1746,1.17,Ideal,G,VVS2,EX,EX,GIA,9142.00000,Train
1747,1.22,Ideal,H,VS1,VG,EX,GIA,7418.00000,Train
1748,0.9,Very Good,D,VS2,VG,VG,GIA,4981.00000,Train
1749,1.08,Ideal,I,SI1,EX,EX,GIA,4705.00000,Train
